factives,hedges,implicatives,report_verbs,bias,negative_words,positive_words,negative_colloquial_words,positive_colloquial_words
,,,,مثابر,ممل,مريح,المحترمين,تبشرونا
,,,,شخص,ملل,مبدع,المحتله,تبنا
,,,,شخصي,المملون,المصداقية,المحتلين,تبنى
,,,,قرصنة,ممل,معقول,المحزن,تبني
,,,,القرصان,فاشل,هش,المخالفه,تتفاعلون
,,,,يخطط,منزعج,أكثر هشاشة,المخالفين,تثبتون
,,,,سياسة,التضايق,دواء,المخجل,تجبر
,,,,شبيح,يزعج,الدواء العام,المخدرات,تجزع
,,,,تلميع,مزعج,هين,المخيس,تحبون
,,,,سياسي,هذب كتابا,لطيف,المخيف,تحترم
,,,,فقير,مقاطعة,الجاذبية,المزري,تحتقرون
,,,,منتشر,ثرثار,شكرا,المساواه,تحسين
,,,,شائع,المتفاخر,جرأة,المستعان,تحصر
,,,,سكان,أبله,بجرأة,المستعمر,تحقق
,,,,إيجابي,غسي دماغ,محبوب,المستكبر,تحقيق
,,,,إمكانية,غسيل الدماغ,شجاع,المسيء,تحكيم
,,,,بريد,صراخ,فَجر,المشتكي,تحل
,,,,قوي,بتهور,انبهار,المشردين,تحلم
,,,,جور,الجرأة,مبهور,المشكل,تحملتها
,,,,ظلم ,شقي,المبهر,المشكله,تخدمي
,,,,إجحاف,تبجح,أدب,المصداقيه,تدعم
,,,,حاضر,وقح,مقبول,المصيبه,ترحيب
,,,,ضغط,بوقاحة,حاسم,المضايقه,ترزقون
,,,,مطبعة,وقاحة,الحسم,المضحك,ترضي
,,,,بريشتينا,يخرق,مخلص,المظلوم,ترفنا
,,,,أسير,استراحة,هزيمة,المظلومات,ترقيات
,,,,حياة احترافية,انفصل,هزم,المظلومه,تزدهر
,,,,مشكلة,الانفصالات,هزيمة,المعارف,تسترزق
,,,,عملية,انفصال,الهزائم,المعاناه,تشجع
,,,,حساب تعريفي,كسر,مدافع,المعترضون,تصفي
,,,,يرقي,فرامل,احترام,المعطلات,تطمئن
,,,,يستدعي,انفصل,ماهر,المعطله,تطورك
,,,,استدعى,الانفصال,مُحَلَّل,المعفنين,تطوير
,,,,دعاية,رشوة,لذيذ,المعناه,تعاون
,,,,يحمي,كبريت,رقة,المعونه,تعاونوا
,,,,البروتستانتية,الشعر الخشن,حساس,المغترب,تعايش
,,,,يثبت,هش,لذيذ,المغلوبات,تعتز
,,,,مقاطعة,حطم,بهجة,المفجعه,تعثر
,,,,المزعوم,مكسور,مسرور,المفروض,تعجبه
,,,,جودة,مكسور القلب,مسعد,المفسدين,تعليم
,,,,سؤال,الحضنة,مبهج,المقيم,تعمرو
,,,,سباق,إيقاع,بشكل مبهج,المقيمين,تعمير
,,,,عنصري,كدمة,البهجة,المنحرفه,تعويض
,,,,متطرف,كدمات,جدير بالثقة,المنضغطين,تغضب
,,,,يتراوح,فظ,يمكن الاعتماد عليه,المنظغطين,تغني
,,,,معدل,قاسِي,بجدارة,المهاقره,تفاءل
,,,,رد فعل,الوحشية,يستحق,المهزله,تفائل
,,,,المتمردين,وحشية,مرغوب فيه,النار,تفرح
,,,,حديثا,بوحشية,رغبة,الناكرين,تفرفه
,,,,يتعرف على,وحشية,راغبة,النتنه,تفضيل
,,,,سجل,بوحشية,قدر,النجس,تفعيل
,,,,يشير إلى,غاشم,للانفصال,النصب,تفهم
,,,,اعادة تشكيل,بهيمي,ورع,النقص,تقدم
,,,,رفض,بكالوريوس,حاذق,النكران,تقدير
,,,,دحض,انبعاج,ببراعة,الهامش,تقليص
,,,,اعتبار,حشرة,حاذق,الهجره,تمتع
,,,,يغض النظر,التنصت,كريمة,الهجوم,تنصحه
,,,,النظام الحاكم,عربات التي تجرها الدواب,كريمة,الهدر,تنصرنا
,,,,يرفض,أضخم,كرامة,الهم,تنمي
,,,,يطلق,ضخامة,اجتهاد,الهمز,تنمية
,,,,دين,ضخمة,مجتهد,الهميش,تنميه
,,,,ديني,ضخامة,بجد,الواسطات,تنهضوا
,,,,يزيل,ثوره,دبلوماسي,الواسطه,توازن
,,,,تقرير,ثورة,برخص التراب,الواطيه,توسيعيه
,,,,سمعة,المتنمرون,امتياز,الوافد,توصيه
,,,,بحث,هراء,متميز,الوافده,توطين
,,,,الباحث,هراء,مميز,الوافدين,توظيف
,,,,ملجأ,متنمر,متنوعة,الوجع,توفير
,,,,احترام,تنمر,إلهي,الوصخه,توفيق
,,,,إجابة,بالتنمر,إلهيا,الوهميه,تيسيرا
,,,,تقييد,متشرد,تسيطر,الياس,ثرواتها
,,,,ينتقم,صدم,سيطر,اميه,ثقافه
,,,,الانتقام,الاصطدام,يهيمن,انتظار,ثقتي
,,,,يعود,الاهتزاز,دوتي,انتظارنا,ثقه
,,,,يكشف,مطبات,بمهارة,انتظر,ثمره
,,,,إحياء,به نتوءات,بلا شك,انتقص,ثمن
,,,,ثورة,عمل غير متقن,ارض الاحلام,انتهت,جاد
,,,,حقوق,فاشل,مذهول,انجازات,جاهل
,,,,أعمال شغب,سرير طوابق,مدهش,انجبرت,جاهليه
,,,,جذر,حرج,مقاومة للدمية,انحطاط,جدارته
,,,,قاعدة,مرهقة,متين,انصاف,جمالها
,,,,روسيام,مرهقة,متحرك,انصافنا,جميل
,,,,صدام,يحرق,مشتاق,انصدمت,جميلا
,,,,نفس الجنس,أحرق,بلهفة,انصرونا,جميله
,,,,رأى,احتراق,رغبه قويه,انصفنا,جميلها
,,,,يقول,الحروق,جدي,انطمي,جهد
,,,,فضيحة,اعتقال,بجدية,انطواءي,جهود
,,,,مختص بمجال علمي,تماثيل نصفية,الجدية,انفراج,جهودك
,,,,يدقق,مشغول,يُسَهّل,انقذوا,جهوده
,,,,التدقيق,جزار,خفف,انقذونا,جيده
,,,,طائفة,الأز,يخفف,انقضاء,حاجتنا
,,,,يشوف,البيزنطية,أسهل,انقلع,حافز
,,,,يرى,ثرثرة,أسهل,انقلعتي,حب
,,,,يبدو,الكوارث,سهولة,انقلعوا,حبهم
,,,,يبيع,كارثية,تخفيف,انكرو,حرمان
,,,,متفرق,بشكل كارثي,سهل,انكفاءي,حرية
,,,,انفصالي,كارثة,سهل الاستخدام,انهاء,حريص
,,,,صربي,قاس,عيشة رغيدة,انهبلو,حرين
,,,,الصربية,افترى,حماسة,انهبلوا,حزنك
,,,,يخدم,افتراء,متحمس,انوح,حسد
,,,,خدمة,الافتراءات,بحماسة,اهانه,حسن
,,,,مستعمرة,مشوه، مفتر,اقتصادية,اهبل,حسنه
,,,,الجنس,بشكل افترائي,اقتصاديه,اهدارا,حصانه
,,,,جنسي,افتراء,النشوة,اهمال,حضاره
,,,,عيب,سرطان,نشوة,اهملت,حظ
,,,,يعرض,سرطاني,طار فرحًا,اوجعت,حفظكم
,,,,لافتة,أكلة لحوم البشر,بنشوة,اوسخ,حق
,,,,بصورة مماثلة,تفكيك,تنوير,اوضع,حقق
,,,,يجلس,استسلم,متعلم,اوفي,حققته
,,,,ما يسمى,متقلبة,فعال,اوقح,حقك
,,,,اجتماعي,بشكل متقلب,على نحو فعال,اولى,حقكم
,,,,الاشتراكي,نزوة,فعالية,اولي,حقنا
,,,,مجتمع,انقلب,بكفاءة,ايذاءهم,حقه
,,,,جندي,غير مبالي,جهد,باء,حقها
,,,,مصدر,إهمال,بدون جهد,باطله,حقهم
,,,,سوفيتية,كاريكاتير,التدفق,بالتوظيف,حقوق
,,,,محدد,مذبحة,بغزارة,بتوظيفنا,حقوقنا
,,,,المضاربة,الكارب,انصباب,بجاحه,حقوقه
,,,,معيار,كرتوني,حماسة,بجيح,حقوقهم
,,,,يبدأ,ضائقة مالية,حمس,بدو,حقوقهن
,,,,ولاية,انتقد,مبتهج,بربره,حقي
,,,,حاد,مخصي,بسرور,بساطه,حكمه
,,,,بقوة,ضحية,ابتهاج,بسخريه,حل
,,,,يكافح,كارثة,كهرب,بشع,حلال
,,,,كفاح,كارثية,أناقة,بطالتي,حلم
,,,,يذاكر,كارثية,رائع,بطاله,حلمك
,,,,أسلوب,بشكل كارثي,بأناقة,بعض,حلمكم
,,,,ناجح,نكبة,رفع,بكاء,حلو
,,,,يقترح,الكوارث,نخبة,بكينا,حلوه
,,,,يدعم,كارثي,بلاغة,بلطجت,حواءجنا
,,,,يؤيد,بشكل كارثي,بليغ,بلطجتهم,حوافز
,,,,داعم,الكوارث,ببلاغة,بناء,خبرات
,,,,مشجع,كاوية,يجرؤ,تاخير,خدمه
,,,,مؤيد,بطريقة لاذعة,سماحة,تاديبيه,خربنا
,,,,يفترض,تحذيري,بارز,تبكي,خساسه
,,,,المتعصب,كهف,تعاطف,تبني,خطأ
,,,,الناجي,لوم,تعاطف,تتعبون,خطر
,,,,مشتبه,الغضب,تمكين,تجاهل,خطرا
,,,,يشتبه,قشر,التمكين,تجاهلت,خير
,,,,نظام,الحزن,يسحر,تجاهلكم,خيرا
,,,,تكتيك,التحدي,مسحور,تجاهلنا,خيرات
,,,,يأخذ,فوضى,ساحر,تجاهلونا,خيراته
,,,,هدف,فوضوي,بشكل ساحر,تجحد,خيراتها
,,,,ضريبة,عاقب,يشجع,تجريح,خيرك
,,,,يخبر,عاقب,تشجيع,تحارب,خيرنا
,,,,شرط,تأديب,بشكل مشجع,تحاسدوا,خيره
,,,,إقليم,الثرثرة,التحبيب,تحجيم,خيرها
,,,,إرهاب,صندوق الثرثرة,تأييد,تحذر,خيريه
,,,,ارهابي,رخيص,أيد,تحرمون,داعم
,,,,نظرية,رخيص,يؤيد,تحزن,دافع
,,,,مفكر,رخيص,تأييد,تحطمنا,درعهم
,,,,مذهب,يغش,نشيط,تخبطات,دعم
,,,,معتقد,خدع,تنشيط,تختلفوا,دعمهم
,,,,تهديد,الغشاشة,كفاءة الطاقة,تخرس,رائع
,,,,يهدد,الغش,توفير الطاقة,تخريب,راتب
,,,,هدد,غش,جذابة,تخسون,راحه
,,,,معذب,متقلب,النسخ,تخسي,رازق
,,,,تقليدي,كئيب,يحسن,تخلي,راضي
,,,,تقليديا,رخيص, المحسن,تدعي,راقي
,,,,حقيقي,طفولي,التعزيز,تدمر,راقيات
,,,,يحاول,برد,يعزز,تدمرنا,ربنا
,,,,ما انولد لسى,حار,يتمتع,تدني,رحبت
,,,,ما ولد بعد,خنق,ممتعة,تذمرك,رحمت
,,,,لم يولد بعد,كولي,بشكل ممتع,تذمروا,رحمه
,,,,غير موثقة,متقطع,استمتعت,تراشق,رخيصه
,,,,للأسف,عمل روتيني,تتمتع,ترحل,رزق
,,,,متحد,مزمن,التمتع,ترحليها,رزقك
,,,,الولايات المتحدة الأمريكية,مكتنزة,يتمتع,ترحيل,رزقكم
,,,,يستخدم,صخب,تنوير,ترحيلها,رزقه
,,,,عادة,صخاب,تنوير,ترحيلهم,رزقها
,,,,قيمة,اشتباك,إحياء,تردي,رزقهم
,,,,متنوع,كليشية,عظم,ترزق,رزقي
,,,,متنوع,مبتذلة,كافٍ,ترقيات,رغد
,,,,واسع,زمرة,بهج جدا,ترهات,رفقا
,,,,جدا,تسد,مبتهج,تزاحم,ساعدنا
,,,,ضحية,مسدود,يثرى,تزعل,ساند
,,,,فوز,قباقيب,تخصيب,تزعلون,سر
,,,,فيتنام,تغيم,مغامر,تساهل,سرقه
,,,,منظر,غائم,ترفيه,تسب,سريعا
,,,,انتهاك,جاهل,مسلية,تسبنا,سعاده
,,,,عنف,مرتبك,يسلي,تستاهل,سعوده
,,,,عنيف,عالي الكعب,فتن,تستفز,سعيد
,,,,تصويت,خشن,فتن,تسريح,سلعه
,,,,الأجر,مغرور,مفتون,تسلط,سلمت
,,,,حرب,إكراه,حمس,تسول,سليم
,,,,تسخين,الإكراه,حماس,تسيء,سنبني
,,,,محارب,قسري,متحمس,تسيب,سند
,,,,طريق,بارد,بحماس,تشتم,سوء
,,,,الغرب,ببرود,يجذب,تشحت,سوءا
,,,,الغربي,ينهار,جذب,تشكيك,سيادتنا
,,,,أبيض,تواطؤ,أغرى,تشويه,شامتين
,,,,على نطاق واسع,التواطؤ,مغري,تضر,شرفاء
,,,,يفوز,قتالية,مغرية,تضيق,شروط
,,,,الفائز,احتراق,بشكل مغر,تضييق,شغل
,,,,امرأة,هزلي,مفتون,تطاول,شكر
,,,,كلمة,تعاطف,خلاب,تطاولت,شكرا
,,,,عمل,شائعا,ودع,تطردوهم,شهادات
,,,,عالم,هياج,يحسد عليه,تطعن,شهامه
,,,,يكتب,الاضطرابات,يحسد عليه,تطفيس,شيمه
,,,,يزيد,يشتكي,حسود,تطفيشه,صابره
,,,,صهيوني,اشتكى,بحسد,تطفيشي,صالح
,,,,,يشكو,الحسد,تطوير,صبر
,,,,,يشكو,حسد,تظلم,صبرا
,,,,,شكوى,العادل,تظلمنا,صبرك
,,,,,شكاوي,مريح,تعابطنا,صبرنا
,,,,,معقد,خالية من الأخطاء,تعاظمها,صحيح
,,,,,معقد,مثقف,تعب,صوتنا
,,,,,تعقيد,أخلاقية,تعبنا,صوره
,,,,,متواطئ,ينعى,تعسف,صيرا
,,,,,إكراه,نشوة,تعطيل,ضافينكم
,,,,,لا يقاوم,البهيجة,تعطيلنا,ضاقت
,,,,,تتنازل,ببهجة,تعقيد,ضرائب
,,,,,اعترف,تقييمي,تعقيدا,ضرورين
,,,,,الغرور,بالتساوي,تعقيدات,ضعف
,,,,,قلقان,حافل بالأحداث,تعليق,ضعيف
,,,,,مخاوف,دائم,تعميم,ضيق
,,,,,تنازل,مثير للذكريات,تعويضنا,طاقاتنا
,,,,,امتيازات,تمجيد,تعيبون,طال
,,,,,ادانة,إنسجام,تغربنا,طبيب
,,,,,جدير بالإدانة,تعالى,تغضب,طبيعي
,,,,,إدانة,تمجيد,تغنون,طبيعيه
,,,,,مدان,بتمجيد,تفجيرها,طمانينه
,,,,,يدين,مثالي,تفرعنوا,طموح
,,,,,احتقر,ممتاز,تفرقه,طموحاتنا
,,,,,تنازل,يزيد عن,تفرقوا,طموحه
,,,,,باستخفاف,تجاوزت,تفقدك,طهاره
,,,,,الهبوط بالمستوى,يتجاوز,تفكنا,طور
,,,,,اعترف,ممتاز,تفوق,طورتنا
,,,,,اعتراف,يتجاوز,تفيد,طيب
,,,,,اعترافات,متفوق,تقاعس,طيبتنا
,,,,,محصور,التفوق,تقبع,طيبه
,,,,,صراع,برع,تقدم,عاجبتك
,,,,,متضاربة,ممتاز,تقشف,عاجبك
,,,,,الصراعات,معاليكم,تقطعوا,عاجبه
,,,,,إرباك,برع,تقليص,عاجلا
,,,,,مرتبك,تفوق,تقهر,عاجله
,,,,,مربك,سعادة,تكافحي,عادل
,,,,,مواجهة,ممتاز,تكتلات,عادلين
,,,,,تصادمي,بشكل ممتاز,تكدس,عاطل
,,,,,إرباك,يتفوق,تكدسهم,عاطلا
,,,,,مشوش,استثنائي,تكره,عاطلات
,,,,,يربك,بشكل استثنائي,تكرهو,عاطله
,,,,,مربك,تثير,تكريهم,عاطلين
,,,,,ارتباك,متحمس,تكفرنا,عافيتك
,,,,,مزدحمة,بحماس,تكفي,عافيه
,,,,,ازدحام,الإثارة,تلاعب,عالميا
,,,,,سلبيات,الإثارة,تلاعبهم,عالمين
,,,,,محافظ,يثير,تلعبون,عالي
,,,,,واضح,مثير,تلوث,عامله
,,,,,بشكل واضح,بشكل مثير,تمردا,عداله
,,,,,مؤامرات,ممتاز,تنازعنا,عدل
,,,,,مؤامرة,نموذج,تناشبونا,عز
,,,,,متآمر,مثالي,تنافس,عزك
,,,,,تآمري,مبهجة,تنذل,عزنا
,,,,,تآمر,مبهجة,تنسوا,عزه
,,,,,ذعر,بشكل مبهج,تنصفنا,عزها
,,,,,معدي,البهجة,تنطاق,عسر
,,,,,تلوث,تبرئة,تنكر,عطاءكم
,,,,,ملوثة,توسعية,تنكرت,عطاك
,,,,,يلوث,على وجه السرعة,تنميه,عطالتهن
,,,,,تلويث,بخبرة,تنهار,عظيم
,,,,,تلوث اشعاعى,رائعة,تهاجم,عماره
,,,,,ازدراء,بشكل رائع,تهجم,عماله
,,,,,حقير,تمجيد,تهدر,عمرتوها
,,,,,بازدراء,تمجيد,تهديد,عون
,,,,,يتنافس,بشكل غير عادي,تهديديه,عونا
,,,,,خلاف,نادِر,تهزءها,عيشة
,,,,,إثارة للخلاف,وفرة,تهزا,غريب
,,,,,التواء,غزير,تهكم,غنيا
,,,,,التشوهات,بغزارة,تهمشت,فانتصر
,,,,,يتعارض,ابتهاج,تهميش,فاهم
,,,,,تناقض,مبتهج,تهميشنا,فاهمين
,,,,,متناقض,ابتهاج,تهميشهم,فتنه
,,,,,التناقض,بابتهاج,توصيتها,فخور
,,,,,مخالفة,الصيد العين,توصيه,فداء
,,,,,تدبر,لافتة للنظر,توطين,فداها
,,,,,متفق,الصيد العين,توظيف,فرج
,,,,,جدلي,ملفت للنظر,توظيفهم,فرجا
,,,,,الجدل,خلاب,توفير,فرح
,,,,,معقد,بشكل رائع,ثقيل,فرحا
,,,,,تآكل,يسهل,جاحد,فرحتي
,,,,,تآكل,عدل,جاحدي,فرص
,,,,,التآكل,تماما,جاحدين,فرصه
,,,,,فاسد,الإنصاف,جامعيات,فزعتك
,,,,,تالف,إيمان,جامل,فضل
,,,,,مفسدة,مخلص,جاهل,فضلك
,,,,,يفسد,بأمانة,جاهله,فضلكم
,,,,,تالف,الإخلاص,جحد,فضله
,,,,,أكثر تكلفة,شهرة,جحدان,فضلها
,,,,,مكلفة,مشهور,جحود,فقد
,,,,,نتائج عكسية,مشهور,جدوي,قادرين
,,,,,الانقلابيين,مشهور,جرائم,قدراتنا
,,,,,طمع,مربي الحيوانات,جشع,قدمت
,,,,,جبان,خيالي,جشعه,قدمته
,,,,,متوتر,باهِظ,جشعين,قريب
,,,,,كسر,ضجة,جميل,قضاء
,,,,,متصدع,المشجعين,جنت,قضيتكن
,,,,,الشقوق,رائع,جهد,قضيتنا
,,,,,ببراعة,خيالي,جهده,قوى
,,,,,بمهارة,فتن,جهل,قيود
,,,,,ماكرة,مبهر,جهله,كثير
,,,,,شد عضلي,بشكل رائع,جوع,كرامتنا
,,,,,ضيقة,سحر,جياع,كرامتهم
,,,,,التشنج,الموضة,حاجتنا,كرامه
,,,,,غريب الأطوار,بشكل عصري,حاجزا,كربتنا
,,,,,هراء,سريع,حاجه,كرم
,,,,,سيء الجودة,سريع النمو,حاربونا,كرماء
,,,,,الفضلات,خطى سريعة,حاربوه,كرمنا
,,,,,يتحطم,أسرع,حاسده,كريم
,,,,,تحطم,الأسرع,حاسدين,كريمه
,,,,,تعطل,الأسرع نموا,حاقد,كسب
,,,,,تحطمها,لا عيب فيه,حاقده,كفء
,,,,,فظ,مفضل,حاقدين,كفاءات
,,,,,جبان,مفضل,حثالات,كفاءتكم
,,,,,بجبن,محاباة,حثاله,كفاءه
,,,,,جنون,ملائم,حرام,كفاح
,,,,,بجنون,مفضل,حرب,كفو
,,,,,جنون,مفضل,حرج,لاتمل
,,,,,مجنون,مفضل,حرم,لحلم
,,,,,صرير,محاباة,حرمان,لصالح
,,,,,ساذج,ما همه أحد,حرمت,لطف
,,,,,زحف,ما يخاف,حرمونا,لقديمات
,,,,,تزحف,لا يعرف الخوف,حزن,لقضيتنا
,,,,,مريب,بلا خوف,حسافه,مؤهلات
,,,,,تسللت,عمليا,حسبنا,مؤهلاتنا
,,,,,جريمة,عمل,حسد,ماليه
,,,,,مجرم,ميزة غنية,حسدهم,مبدع
,,,,,ينكمش,سهل,حسرات,مبدعين
,,,,,متذلل,مشاكس,حسره,متعايشين
,,,,,يتذلل,أهنئ,حشرات,متفاءل
,,,,,تشل,سعيد,حضرتك,متفاءله
,,,,,مشلول,خصبة,حظ,متفائله
,,,,,يشل,متحمس,حظر,متفوق
,,,,,معوق,بحماس,حظنا,متقدمه
,,,,,مصيبة,متحمس,حق,مثابره
,,,,,الناقد,حماسة,حقاره,مثقفين
,,,,,شديد الأهمية,احتفالي,حقتهم,مجتهدين
,,,,,نقد,الاخلاص,حقد,مجدنا
,,,,,الانتقادات,ناري,حقدا,مجهودات
,,,,,ينتقد,بخير,حقدهم,محب
,,,,,انتقد,حسن المظهر,حقنا,محبه
,,,,,انتقاد,ناعما,حقه,محتدين
,,,,,النقاد,أدق,حقود,محترم
,,,,,المحسوبية,الأفضل,حقوقكم,محترمه
,,,,,المحتال,أكثر حزما,حقوقنا,محترمين
,,,,,ملتوية,الصف الأول,حقوقي,محترمينكم
,,,,,المحتالون,الأول في الصف,حقي,محرومين
,,,,,مزدحم,من الدرجة الأولى,حقير,محسنهم
,,,,,الازدحام,مبهرج,حكرا,محقه
,,,,,الخام,أكثر تسطحا,حكماء,مختلف
,,,,,فظ,الاغراء,حل,مخجله
,,,,,أكثر قسوة,بالإطراء,حلا,مخلصه
,,,,,أقسى,بلا عيوب,حلال,مرادهن
,,,,,بقسوة,لا تشوبه شائبة,حلم,مرحبا
,,,,,القسوة,المرونة,حلمنا,مرموقه
,,,,,تنهار,مرن,حلها,مريحه
,,,,,ينهار,تزدهر,حلو,مسؤليه
,,,,,تافه,مزدهرة,حلول,مساعدات
,,,,,جعدة,طلِق,حلوه,مساعدتكم
,,,,,انهارت,رفرفة,حمار,مسانده
,,,,,يتجعد,مولعا,حوافز,مستحيلا
,,,,,معجب,باعتزاز,خائن,مستفيده
,,,,,سحق,ولع,خائنه,مستفيدين
,,,,,سحق,لا يمكن استخدامه بسوء,خارقه,مستقبل
,,,,,يبكي,قبل كل شيء,خاف,مشاعر
,,,,,مذنب,البصيرة,خافوا,مشاكل
,,,,,مجرم,هائل,خالف,مشجعه
,,,,,مرهقة,ثبات,خان,مشكله
,,,,,مهبل,مصادفة,خانك,مصالح
,,,,,عاهرة,مصادفة,خايف,مصلحتكم
,,,,,لعنة,محظوظ,خايفين,مصلحه
,,,,,ملعون,لحسن الحظ,خاين,مطمئنة
,,,,,اللعنات,حظ,خباثه,معروف
,,,,,كيرت,طيب الرائحة,خبره,معروفه
,,,,,لعنة,حر,خبيثه,معونتك
,,,,,عنيد,حرر,خبير,مفيده
,,,,,سفاح,حرية,خداع,مقبول
,,,,,ساخر,الحريات,خدمه,مقدمه
,,,,,السخرية,طازج,خذلنا,مكرمه
,,,,,ضرر,أعذب,خراب,ممتازه
,,,,,تالف,طازجة,خربوا,مناسبه
,,,,,الأضرار,الود,خريجات,منصف
,,,,,ضارة,ودي,خساره,مهاجر
,,,,,اللعنة,مرح,خساسه,مهاره
,,,,,مريع,مقتصد,خصمكم,مهندس
,,,,,لعنة,مثمر,خضوع,موجوع
,,,,,اللعنة,تحقيق,خطا,موفقا
,,,,,ملعون,انجاز,خطر,ناجح
,,,,,اللعينة,هزار,خطره,ناجحات
,,,,,المثبط,مستقبلية,خطير,نادره
,,,,,خطر,ابتهاج,خلل,ناقصات
,,,,,خطير,بمرح,خمول,نتطور
,,,,,خطورة,يكسب,خوف,نتفع
,,,,,مظلم,اكتسب,خوفك,نتقبل
,,,,,أغمق,مربح,خوفنا,نتمنى
,,,,,مظلمة,بشكل مربح,خونة,نجاح
,,,,,أغمق,كسب,خيانة,نحب
,,,,,الظلام,المكاسب,خيانه,نحبكم
,,,,,جبان,شجاع,خير,نحتمل
,,,,,غادر,بشجاعة,خيرا,نحسدهم
,,,,,أرعب,وافر,خيرات,نحلم
,,,,,شاقة, غريب الأطوار,خيرنا,نخاف
,,,,,بشكل مخيف,العبقري ,خيرها,ندعمكم
,,,,,بدد,جوهرة,دب,نرتقي
,,,,,دوخ,الأحجار الكريمة,دحر,نرزقكم
,,,,,في حالة ذهول,سخاء,دخيل,نزرقكم
,,,,,ميت,كريم,دفاعها,نزية
,,,,,طريق مسدود,بسخاء,دمار,نستقر
,,,,,مميت,لطيف,دماركم,نشكر
,,,,,الوزن الثقيل,عبقري,دمر,نصرها
,,,,,أصم,لطيف,دمرت,نصفق
,,,,,ندرة,ألطف,دمرتو,نصيب
,,,,,موت,أصيل,دمروا,نصير
,,,,,كارثة,موهوب,دمعي,نطمح
,,,,,الانحطاط,مسرور,دهب,نظافة
,,,,,الحط من القيمة,فرح,دونيه,نظامي
,,,,,المحط,بكل سرور,ديرتنا,نعشق
,,,,,قابل للنقاش,السعادة,ذئاب,نعمة
,,,,,فسوق,براقة,ذبحتنا,نعمتك
,,,,,فاسق,مرح,ذريع,نعمر
,,,,,الفجور,جذلان,ذنبنا,نعمه
,,,,,المنهكة,بسعادة,راحت,نعيم
,,,,,الوهن,بصيص,رخيصه,نفتخر
,,,,,دَين,بريق,رهقنا,نفعا
,,,,,الديون,يلمع,ريحنا,نفقه
,,,,,الانحطاط,متلألئ,زحمه,نقدر
,,,,,منحط,بريق,زعزع,نقص
,,,,,فساد,الواجهة,زعلان,نقمتك
,,,,,اضمحلت,مجد,زعلانين,نكتفي
,,,,,خداع,المجيد,زعلني,نكر
,,,,,مخادع,مجيد,زعلوا,نناضل
,,,,,بشكل مخادع,مجد,زيفها,نهضت
,,,,,الخداع,يشع,سارق,نهضه
,,,,,يخدع,متوهجة,سارقين,نهضوا
,,,,,مخادع,متوهجة,سافل,هدف
,,,,,المخادعون,أعطى الله,ساقطه,هدوء
,,,,,خادع,إلهي,ساكتين,واثقه
,,,,,الخداع,هبة من الله,ساندونا,واجب
,,,,,خادعة,ذهب,سب,واعطت
,,,,,بشكل مخادع,ذهبي,سبه,واعي
,,,,,خطب,جيد,سترتي,واعين
,,,,,انخفاض,صلاح,ستسالون,واعيه
,,,,,يرفض,نية حسنة,سد,وافد
,,,,,انخفاض,خلاب,سرقه,واقعي
,,,,,إنقاص,رائع,سعوده,والامان
,,,,,متهالك,بشكل رائع,سعودو,والتقدير
,,,,,الضعف,جمال,سعيده,والحظ
,,,,,شجب,رشيقة,سفاله,وثق
,,,,,التشهير,برشاقة,سفله,وطني
,,,,,تشهيرية,رؤوف,سكتنا,وطنييتهم
,,,,,التشهير,بلطف,سلاح,وظفنا
,,,,,خلل,كرم,سلب,وظنيتهم
,,,,,معيب,كبير,سلبيه,وظيفة
,,,,,عيوب,عظمة,سوء,وظيفه
,,,,,دفاعي,شاكر,سيء,وعد
,,,,,تحدي,مع جزيل الشكر,سياده,وعود
,,,,,غير هياب جريء,الإشباع,سيطرتهم,وفاء
,,,,,بتحد,ممتن,شتائم,وفرت
,,,,,أوجه القصور,يرضي,شتاتكم,وفى
,,,,,نقص,يرضي,شتل,ولاءه
,,,,,ناقص,مما يثلج الصدر,شتم,ولاءهم
,,,,,لوث,بكل سرور,شتمنا,ياكلون
,,,,,منجس,اِمتِنان,شتمه,يبتسمون
,,,,,تشوه,عظيم,شتمهم,يبشرنا
,,,,,مشوه,أعظم,شتموه,يتحمله
,,,,,الاحتيال,عظمة,شتيمه,يتحملها
,,,,,البائد,ابتسامة,شح,يتعبون
,,,,,يعصي,رائد,شحاذه,يتغربون
,,,,,منحط,يضمن,شحذ,يتقنها
,,,,,منحط,إرشاد,شدعوا,يتمنونها
,,,,,انحطاط,بريء,شر,يتمنى
,,,,,انحلال,النباهة,شرا,يتوظفن
,,,,,تحط من قدر,تدفق,شرفاء,يثقون
,,,,,تدهور,ميل,شرور,يجتهد
,,,,,بشكل مهين,جريء,شغفنا,يجد
,,,,,التجريد من الإنسانية,يشيد,شهامه,يحب
,,,,,تجريد الإنسان من إنسانيته,الهالسيون,شيء,يحبنا
,,,,,تكرم,هيل,شيلوا,يحبها
,,,,,كئب,السمة المميزة,شينه,يحبونكم
,,,,,مكتئب,السمات المميزة,صاجينا,يحترم
,,,,,مكتئب,مقدس,صارم,يحق
,,,,,الاكتئاب,أكثر فائدة,صارمه,يحلم
,,,,,تأخير,بسهولة,صبرا,يحلون
,,,,,تأخير,بدون بذل الكثير من الجهد,صبرنا,يحمونه
,,,,,تأخير,وسيم,صراخ,يحمي
,,,,,التأخير,بسخاء,صرخه,يخدم
